date,domestic violence hotline,domestic violence help,domestic abuse hotline,domestic abuse help,order of protection
2020-01-05,0,0,0,89,48
2020-01-12,0,0,0,0,39
2020-01-19,30,46,0,0,50
2020-01-26,0,0,0,0,56
2020-02-02,28,0,0,0,28
2020-02-09,0,0,0,0,19
2020-02-16,0,0,0,0,37
2020-02-23,0,0,0,0,55
2020-03-01,0,0,0,0,36
2020-03-08,0,0,0,83,27
2020-03-15,52,0,0,0,35
2020-03-22,27,0,0,0,27
2020-03-29,0,0,80,0,17
2020-04-05,0,0,0,0,26
2020-04-12,100,76,39,0,42
2020-04-19,0,0,0,0,8
2020-04-26,0,0,0,0,25
2020-05-03,25,0,0,0,25
2020-05-10,0,0,0,0,26
2020-05-17,0,0,0,0,18
2020-05-24,28,0,0,0,37
2020-05-31,0,41,0,0,27
2020-06-07,0,42,0,0,73
2020-06-14,28,43,0,87,66
2020-06-21,0,86,0,0,47
2020-06-28,0,0,0,0,10
2020-07-05,0,0,0,0,48
2020-07-12,0,0,0,0,20
2020-07-19,29,0,0,0,20
2020-07-26,0,0,0,0,59
2020-08-02,0,0,0,0,39
2020-08-09,0,0,0,0,58
2020-08-16,0,44,0,0,58
2020-08-23,0,0,0,0,83
2020-08-30,0,0,42,0,27
2020-09-06,0,0,0,0,36
2020-09-13,0,0,0,0,36
2020-09-20,27,0,0,0,64
2020-09-27,29,44,0,0,29
2020-10-04,0,0,0,93,40
2020-10-11,0,0,0,0,66
2020-10-18,32,49,0,0,22
2020-10-25,0,49,0,0,11
2020-11-01,0,40,0,0,27
2020-11-08,0,0,0,0,42
2020-11-15,0,0,50,0,21
2020-11-22,0,0,0,0,0
2020-11-29,0,0,0,0,83
2020-12-06,31,0,0,0,10
2020-12-13,0,0,0,100,22
2020-12-20,34,0,0,0,23
2020-12-27,33,0,0,0,11
2021-01-03,0,0,0,0,21
2021-01-10,0,0,0,0,32
2021-01-17,0,48,0,0,42
2021-01-24,0,49,0,0,42
2021-01-31,0,0,0,0,54
2021-02-07,0,50,0,0,43
2021-02-14,33,0,51,0,55
2021-02-21,66,0,0,0,33
2021-02-28,33,0,0,100,54
2021-03-07,32,0,0,0,32
2021-03-14,0,45,0,0,50
2021-03-21,0,49,0,0,11
2021-03-28,0,0,0,0,21
2021-04-04,0,0,0,0,32
2021-04-11,0,0,100,0,32
2021-04-18,0,0,0,0,21
2021-04-25,33,0,51,0,22
2021-05-02,0,100,0,0,33
2021-05-09,33,50,0,0,44
2021-05-16,0,0,51,0,22
2021-05-23,67,0,52,0,100
2021-05-30,34,0,0,0,23
2021-06-06,0,0,51,0,33
2021-06-13,0,0,0,0,56
2021-06-20,0,0,0,0,33
2021-06-27,0,0,52,0,45
